percentile,n_monitor_flagged,n_both,share_concordant,chance,jaccard
5,5918,305,0.051537681649205816,0.05,0.02409543371780692
10,12017,1274,0.10601647665806774,0.1,0.05512765036780615
20,24415,5348,0.219045668646324,0.2,0.12454877849973219
