variable,cohort,n_hospitals,n_stays,eta2_hosp_count,eta2_unit_count,eta2_hosp_interval,eta2_unit_interval
heart_rate,unrestricted,68,96518,0.44107029538776676,0.03672155680708489,0.7625310312478437,0.004797208935089503
heart_rate,own floor,60,88560,0.3538537167590392,0.04281107637104631,0.25075505847156543,0.03078908050085183
resp_rate,unrestricted,65,91350,0.42366754438608717,0.041329005036475075,0.7138544201450688,0.013346808935636445
resp_rate,own floor,56,82486,0.33317822608557685,0.047072368700392664,0.19344032492974617,0.048216946806713845
spo2,unrestricted,58,85734,0.42137009010104515,0.042202909457840165,0.7426042821556295,0.007104716519424903
spo2,own floor,50,77967,0.3216677247685628,0.04994772513780876,0.2512649115117428,0.0414221965378056
