label,n,n_hospitals,n_units,intercept,var_hospital,var_unit,alpha,level1_var,vpc_hospital,vpc_unit,vpc_residual,loglik,converged,n_iter
restricted primary cohort,88560,60,126,3.6247009764302502,0.10440995450395257,0.03362283007708399,0.15052907413030758,0.16225917146562877,0.34769480967291466,0.1119671353163353,0.5403380550107499,-363563.7436711041,True,202
unrestricted sensitivity cohort,96518,68,142,3.40184465804495,0.5186383027886828,0.030864634191065655,0.14994384738785177,0.16334791057387518,0.7275551464497187,0.04329746439523435,0.22914738915504684,-382955.23635906377,True,227
