variable,percentile,n_stays,vp_cutoff,vp_marginal,nc_cutoff,nc_marginal,n_intersection,observed_agreement,chance_agreement,ratio_observed_to_chance,jaccard,spearman
heart_rate,5,117572,228.0,0.050335113802606066,4.0,0.05992072942537339,305,0.051537681649205816,0.05992072942537339,0.8600977014706069,0.02409543371780692,0.023877651828508435
heart_rate,10,117572,251.0,0.10220970979484911,7.0,0.1051866090565781,1274,0.10601647665806774,0.1051866090565781,1.00788947955384,0.05512765036780615,0.023877651828508435
heart_rate,20,117572,268.0,0.2076599870717518,17.0,0.20304154050284082,5348,0.219045668646324,0.20304154050284082,1.078821940100771,0.12454877849973219,0.023877651828508435
resp_rate,5,103634,164.0,0.05009938823166142,4.0,0.06501727232375475,310,0.05970724191063174,0.06501727232375475,0.9183289267091733,0.02667814113597246,0.07236703719854892
resp_rate,10,103634,217.0,0.10100932126522184,7.0,0.11130517011791496,1304,0.12457011845624762,0.11130517011791496,1.1191763897784799,0.06299821247403256,0.07236703719854892
resp_rate,20,103634,252.0,0.2047301078796534,16.0,0.20470115985101414,5363,0.2527690059857661,0.20470115985101414,1.234819608104501,0.14468004748030647,0.07236703719854892
spo2,5,103192,140.0,0.05032366850143422,4.0,0.07091635010465927,455,0.08761794723666474,0.07091635010465927,1.2355112341139531,0.03774054412740544,0.1393616369352115
spo2,10,103192,196.0,0.10147104426699745,6.0,0.10834173191720288,1436,0.13714067424314774,0.10834173191720288,1.265815783228882,0.07103635913925303,0.1393616369352115
spo2,20,103192,238.0,0.20106209783704163,14.0,0.2036882704085588,5760,0.2776171197223829,0.2036882704085588,1.362950940501077,0.15996889493709557,0.1393616369352115
