variable,n_both_streams,spearman,decile_positive_agreement,decile_jaccard,db_eta2_n_records_vs_nurseCharting,db_eta2_n_records_vs_vitalPeriodic,db_eta2_median_interval_min_vs_nurseCharting,db_eta2_median_interval_min_vs_vitalPeriodic,hosp_eta2_n_records,unit_eta2_n_records,hosp_eta2_median_interval_min,unit_eta2_median_interval_min,hosp_eta2_frac_time_in_gaps,unit_eta2_frac_time_in_gaps,mimic_pctile_min_vs_nurseCharting,mimic_pctile_max_vs_nurseCharting,mimic_pctile_min_vs_vitalPeriodic,mimic_pctile_max_vs_vitalPeriodic
spo2,103192,0.1393616369352115,0.13714067424314774,0.07103635913925303,0.019554879780391592,0.8613235839860883,0.022807875176262093,0.7344687163695025,0.42137009010104515,0.042202909457840165,0.7426042821556296,0.007104716519424792,0.5629006936062818,0.029368353508878342,0.29107981220657275,0.4272300469483568,0.0,0.0
resp_rate,103634,0.07236703719854892,0.12457011845624762,0.06299821247403256,0.01677789453917794,0.894985675131196,0.021653376624521155,0.8803744826997778,0.4236675443860872,0.04132900503647502,0.7138544201450687,0.013346808935636556,0.5559874596801605,0.03829307002242388,0.296137339055794,0.463519313304721,0.0,0.0
