level,percentile,n_stays,global_cutoff,n_flagged_global,n_flagged_local,concordant,jaccard,share_reclassified,group_share_p10,group_share_median,group_share_p90,group_share_min,group_share_max,n_groups,groups_under_1pct,groups_over_50pct
care unit,5,66911,21.0,4005,4579,0.5995006242197254,0.3883228206372311,0.05652284377755526,0.02120859274488407,0.0320595391441248,0.35386552514686914,0.01838316722037652,0.3711133400200602,9,0,0
care unit,10,66911,23.0,10184,8383,0.7255498821681068,0.6610305958132046,0.056627460357788706,0.09632132194245888,0.12082132564841498,0.4893813583607967,0.07685492801771872,0.5165496489468405,9,0,1
care unit,20,66911,24.0,18938,18479,0.8942338156088289,0.8268235523874622,0.05301071572686106,0.21085149592004515,0.2419328010645376,0.6084535750107466,0.18693244739756368,0.6369107321965898,9,0,2
