metric,eta2_hospital,hosp_lo,hosp_hi,eta2_hospital_given_density,hosp_d_lo,hosp_d_hi,eta2_unit_within_hospital,unit_lo,unit_hi
n_records,0.47317256271159874,0.40150121128767663,0.5547138720020516,0.4010271197068689,0.3258628174977056,0.470893552071252,0.0292660949770836,0.013959805761662286,0.04532013022544573
t_first_h,0.09713225079195126,0.06701108492909154,0.13237400908758956,0.0722318854727182,0.05093766756814588,0.09523897168998394,0.0077027728379289034,0.0034217589416578676,0.014148808061714558
median_interval_min,0.7614171761918396,0.6898277204885509,0.7951641093590813,0.40420717994859745,0.33780127054251197,0.454348589165033,0.0034131761722888676,0.0015903780594616669,0.007004291828824809
iqr_interval_min,0.4740674203325909,0.38558432695150935,0.5295344636665265,0.23181127412712915,0.17132141289817984,0.29209422547222585,0.009682566652613134,0.004161321997104373,0.019857001819511375
max_interval_min,0.6064745163369364,0.47661911924192213,0.6854339434474606,0.32299890887600224,0.26787808541745495,0.3659855038218177,0.010384796582029288,0.003529931589420812,0.022115076540154027
n_gaps_gt30m,0.48522375906891213,0.3885257284249381,0.5756755350526652,0.45781586892142767,0.3713154143669941,0.5333192201118122,0.032218838036258024,0.016408098087092142,0.04772246215141789
n_gaps_gt2h,0.5139086470246248,0.4118228516915596,0.6114030536920788,0.3843606442629645,0.30132816103346804,0.4603507927935976,0.01959460006418845,0.005799878033709988,0.03989231828216207
frac_time_in_gaps,0.651142736489293,0.5399837505789461,0.7328280639859429,0.40864772253590187,0.32618929870615815,0.4877853561200509,0.013112142551753858,0.00376251220654453,0.028545429765642755
