cohort,metric,database,hospital_increment,unit_increment,eicu_eta2,eta2_lo,eta2_hi,vpc_hospital
unrestricted,Record count,0.04369431892679369,0.3859298540111867,0.03433483072846594,0.44107029538776676,0.3528993826905941,0.5270979997315891,0.43566088279197285
unrestricted,Hours to first record,0.02623361006088137,0.035392564284319916,0.1491373593548938,0.07166616407890103,0.03905141345313835,0.10754006590217743,0.06283029103277699
unrestricted,Median interval,0.009112080452461318,0.7458531409908798,0.005189858735524355,0.7625310312478437,0.6270293743067228,0.8091888342525537,0.8212495792714654
unrestricted,Interval IQR,0.04208356562929985,0.41143885086370646,0.018239365258614137,0.4704027486116063,0.3182409842416269,0.5474472593509497,0.5544582858556403
unrestricted,Longest interval,0.05815412439012097,0.5020013339862986,0.01728556495393363,0.5863936778295272,0.37495675585182314,0.6979547646039681,0.6587818281841135
unrestricted,Gaps >30 min,0.2543863684796789,0.3079188924660582,0.03913712201365449,0.46362750102849665,0.358714687083144,0.5649383449808874,0.46191627156107634
unrestricted,Gaps >2 h,0.06050781816263557,0.40447192436582285,0.02823853279707167,0.4676028535299934,0.29869400238333277,0.6001348444547219,0.49869542014204965
unrestricted,Fraction of window in gaps,0.0649355307182581,0.5542013926570674,0.01782969209016161,0.6210738635325898,0.4369792685271962,0.7325277474340516,0.6741012906920362
restricted,Record count,0.08055706514885153,0.29353653881462877,0.03795015605338159,0.3538537167590392,0.25933523561689176,0.45014268989145895,0.30575909081227787
restricted,Hours to first record,0.035897678958581265,0.018608667909885974,0.1645438632947318,0.043306829200615175,0.025719397332810822,0.055839770435563985,0.024769423918235032
restricted,Median interval,0.01717708207574934,0.22506748393578407,0.030959947094445467,0.25075505847156543,0.1493189670718977,0.3618001762786935,0.18985395338772118
restricted,Interval IQR,0.028210565476970654,0.10183990612296759,0.050578880738509,0.1402648680085552,0.08525902266174186,0.19846061334906842,0.07715397112787248
restricted,Longest interval,0.036447439215697354,0.10036300571182402,0.041720215596438764,0.13394473747836808,0.07694613580408002,0.1915785879680744,0.08300189028566232
restricted,Gaps >30 min,0.23113564278883586,0.25274734257365505,0.046959691629644806,0.37664123883484707,0.26788585730230347,0.48144234009718817,0.34975261172224814
restricted,Gaps >2 h,0.0342694757682104,0.18349886575725147,0.04615900076613644,0.21757410236752112,0.12668427576036628,0.30453345723404457,0.17485535693807502
restricted,Fraction of window in gaps,0.03536661737721457,0.17942643045547468,0.04268056185772334,0.20813029477426465,0.1228256775107262,0.28694492778999764,0.1579177027155566
