level,percentile,n_stays,global_cutoff,n_flagged_global,n_flagged_local,concordant,jaccard,share_reclassified,group_share_p10,group_share_median,group_share_p90,group_share_min,group_share_max,n_groups,groups_under_1pct,groups_over_50pct
hospital,5,96518,5.0,5570,7826,0.5560143626570916,0.30070880668026023,0.07461820593050002,0.0,0.0020596177264785302,0.12900209733100743,0.0,0.9606481481481481,68,49,5
hospital,10,96518,10.0,9906,13348,0.5103977387441955,0.27783272887130456,0.13616113056631923,0.0008411888783983515,0.010030708953248266,0.6134772077656936,0.0,1.0,68,34,8
hospital,20,96518,20.0,19417,24127,0.6367100993974353,0.39649145312850775,0.19496881410721317,0.011614534776613502,0.062388106959220826,0.8891021957297423,0.0013623978201634877,1.0,68,5,11
