metric,r2_database,r2_hospital_increment,r2_unit_increment,r2_total,n
n_records,0.026348613003041477,0.42904079347900526,0.028350209670008786,0.4837396161520555,186457
t_first_h,0.018371526000881322,0.05710297546802112,0.1228258743692755,0.19830037583817794,186457
median_interval_min,0.01620152827805932,0.7426969800646062,0.0036562183933306347,0.7625547267359961,186457
iqr_interval_min,0.042134824239264956,0.4263900143809506,0.013124753689412239,0.4816495923096278,186457
max_interval_min,0.06332770878375515,0.5309732978273802,0.012697992272462155,0.6069989988835975,186457
n_gaps_gt30m,0.24938936532885358,0.3317862217595974,0.03295346159535317,0.6141290486838041,186457
n_gaps_gt2h,0.0658793781664807,0.4527472327931593,0.021894212535610746,0.5405208234952508,186457
frac_time_in_gaps,0.07082448063432456,0.5857706879764609,0.013647302013834794,0.6702424706246203,186457
