metric,eta2_unit,lo,hi,eta2_unit_given_density
n_records,0.027102824938489072,0.017064291443164376,0.0365620215110734,0.017131886777614916
t_first_h,0.30044607594416844,0.29161142416850216,0.30930459241262165,0.31379988032489387
median_interval_min,0.03899576361238436,0.0356534461473533,0.04281879120577972,0.01853648004595627
iqr_interval_min,0.07556922337983439,0.07149373054386082,0.08010172277364262,0.11638379243325155
max_interval_min,0.05895630070572072,0.05492526661301418,0.06320261676121655,0.042351313435885087
n_gaps_gt30m,0.1634406568672004,0.15815120077601486,0.16954587704258317,0.18405904496701986
n_gaps_gt2h,0.08717035400376834,0.08065487739388894,0.0949005806863584,0.06352849659765174
frac_time_in_gaps,0.062613354649256,0.05710790642842952,0.06823840450581078,0.04277807735675916
