source,metric,eta2_unittype,eta2_unittype_given_density,eta2_hospital,eta2_hospital_given_density,hospital_median_p10,hospital_median_p90
nursecharting,n_records,0.0054160984351503405,0.01519220727640623,0.441070295387768,0.4783990370818001,8.4,52.300000000000004
nursecharting,t_first_h,0.003835431873250972,0.0033601278090021457,0.07166616407890136,0.07014131086190058,0.145,0.36666666666666664
nursecharting,median_interval_min,0.01699069566514133,0.004229538316029419,0.7625310312478447,0.5449072493181432,15.0,177.87500000000037
nursecharting,iqr_interval_min,0.007766438591714997,0.0026439475802940288,0.47040274861160725,0.26268463202013165,0.0,53.00000000000004
nursecharting,max_interval_min,0.014144613086274904,0.004595746636721069,0.5863936778295249,0.352334205235799,60.0,240.0
nursecharting,n_gaps_gt30m,0.0268721765716875,0.02395780787846819,0.4636275010284969,0.5017940071645609,3.7,21.0
nursecharting,n_gaps_gt2h,0.02524684361079854,0.018229995185136114,0.4676028535299922,0.34882031958913073,0.0,2.0
nursecharting,n_gaps_gt4h,0.011472949132026455,0.0037102934374191937,0.5545867693779721,0.37204231151619077,0.0,0.0
nursecharting,frac_time_in_gaps,0.02338122780166174,0.015144962791503368,0.6210738635325881,0.4192755724735612,0.0,0.649131944444445
