metric,vpc_hospital,vpc_unit_within_hospital,vpc_residual,eta2_hospital,converged,n
n_records,0.43386437730044564,0.08327973582509274,0.4828558868744616,0.44107029538776676,True,96518
median_interval_min,0.8235099374956124,0.011337047170157759,0.16515301533422994,0.7625310312478434,True,96518
max_interval_min,0.6566414733846085,0.027862244234826136,0.31549628238056526,0.5863936778295271,True,96518
frac_time_in_gaps,0.6708740007717531,0.033566694673686406,0.2955593045545606,0.6210738635325898,True,96518
n_gaps_gt2h,0.49863493435582645,0.050308797006477265,0.4510562686376963,0.46760285352999315,True,96518
