variable,cohort,n_stays,n_hospitals,hosp_n_records,unit_n_records,hosp_median_interval_min,unit_median_interval_min
heart_rate,all eligible hospitals,119317,193,0.47317256271159874,0.0292660949770836,0.7614171761918396,0.0034131761722888676
heart_rate,>=500 stays,96518,68,0.44107029538776676,0.03672155680708489,0.7625310312478434,0.004797208935089836
resp_rate,all eligible hospitals,114258,190,0.45270675169628716,0.03384922023529674,0.716518438113588,0.009721823946117203
resp_rate,>=500 stays,91350,65,0.4236675443860872,0.04132900503647502,0.7138544201450687,0.013346808935636556
spo2,all eligible hospitals,106028,181,0.4645980531515971,0.033713313240931964,0.7544350197064478,0.004886166894463084
spo2,>=500 stays,85734,58,0.42137009010104515,0.042202909457840165,0.7426042821556296,0.007104716519424792
