cohort,outcome,role,residual,adjustment,OR,OR_lo,OR_hi,p,spec,n,harm,percentile,cutoff,rate
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,harmonised_severity,0.7421769137104071,0.6929749811262831,0.7948722338423442,1.599734925596313e-17,bottom_25pct,83372,False,25.0,-0.07474433028271932,0.25
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,harmonised_severity,1.0053415335297031,0.9641488196320991,1.0482941828684946,0.8029179181222195,continuous_per_SD,30485,False,,,
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,harmonised_severity,0.8503663287173839,0.6589545632883427,1.0973789898467716,0.21284938004703513,bottom_5pct,30485,False,5.0,-0.34022447586429855,0.050024602263408234
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,harmonised_severity,0.8144188377800982,0.6951946416394243,0.9540896946025474,0.011024560916791278,bottom_10pct,30485,False,10.0,-0.2246864578466022,0.10001640150893883
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,harmonised_severity,0.8206722129491817,0.724835954567188,0.9291797362743509,0.001812768614397768,bottom_15pct,30485,False,15.0,-0.17094744884754737,0.1500082007544694
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,harmonised_severity,0.8722161852260125,0.7847459569420127,0.9694361175618427,0.01122336153557414,bottom_20pct,30485,False,20.0,-0.13710190539596762,0.2
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,harmonised_severity,0.9140230629875379,0.8314134674390417,1.004840783066067,0.06287869184982395,bottom_25pct,30485,False,25.0,-0.1105946898527499,0.2500246022634082
MIMIC,hospital_mortality,PRIMARY (matched),legacy,harmonised_severity,1.1148265147514707,1.084605754199249,1.1458893272334543,9.036799949091938e-15,continuous_per_SD,83066,False,,,
MIMIC,hospital_mortality,PRIMARY (matched),legacy,harmonised_severity,0.7782472667218985,0.661319024889414,0.9158496661446962,0.0025429345836707157,bottom_5pct,83066,False,5.0,-0.4467195412816052,0.05000842703392483
MIMIC,hospital_mortality,PRIMARY (matched),legacy,harmonised_severity,0.7729948351710212,0.6985282477449184,0.8553999313987243,6.294060686965468e-07,bottom_10pct,83066,False,10.0,-0.27854027694082495,0.10000481544795704
MIMIC,hospital_mortality,PRIMARY (matched),legacy,harmonised_severity,0.7586594484396701,0.7012607207699847,0.8207563059782028,5.945549789251335e-12,bottom_15pct,83066,False,15.0,-0.19938243613645024,0.15000120386198926
MIMIC,hospital_mortality,PRIMARY (matched),legacy,harmonised_severity,0.7775936833533055,0.7271530870219785,0.8315332041940227,1.9627047947898665e-13,bottom_20pct,83066,False,20.0,-0.14450212603104662,0.2000096308959141
MIMIC,hospital_mortality,PRIMARY (matched),legacy,harmonised_severity,0.7822248869289579,0.7363111253024459,0.8310016685944924,1.7444576282190534e-15,bottom_25pct,83066,False,25.0,-0.10436708130358319,0.2500060193099463
eICU,hospital_mortality,PRIMARY (matched),harmonised,full,0.9471832369355349,0.9255397862492064,0.9693328127658832,4.2057285718184666e-06,continuous_per_SD,187420,True,,,
eICU,hospital_mortality,PRIMARY (matched),harmonised,full,1.546062593661123,1.3977371755573582,1.7101280450418044,2.5127815361903776e-17,bottom_5pct,187420,True,5.0,-1.452916358645054,0.05
eICU,hospital_mortality,PRIMARY (matched),harmonised,full,1.3752412977791413,1.2771748053850263,1.4808377202109742,3.1292333522679553e-17,bottom_10pct,187420,True,10.0,-0.5833115819206879,0.1
eICU,hospital_mortality,PRIMARY (matched),harmonised,full,1.170366128966258,1.1005925322048504,1.2445631200925813,5.270570212545922e-07,bottom_15pct,187420,True,15.0,-0.2411498348055294,0.15
eICU,hospital_mortality,PRIMARY (matched),harmonised,full,1.0431615104271568,0.9887004706590844,1.1006224525323267,0.12244747816738706,bottom_20pct,187420,True,20.0,-0.07054881523186382,0.2
eICU,hospital_mortality,PRIMARY (matched),harmonised,full,0.987183443070633,0.9409450017882346,1.0356940612051988,0.5981713316790152,bottom_25pct,187420,False,25.0,0.031814157900233564,0.25
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,full,0.9078796626482784,0.873950853669562,0.9431256670663957,6.585732449758117e-07,continuous_per_SD,41106,True,,,
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,full,1.6380314960135,1.3806571670044814,1.9433840971206984,1.5273481531452167e-08,bottom_5pct,41106,True,5.0,-0.42843774739455487,0.050017029144163866
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,full,1.150294248682221,1.0063653844756073,1.3148076026490823,0.04007256156383817,bottom_10pct,41106,True,10.0,-0.1628303063073644,0.10000973093952222
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,full,0.9303923436638188,0.8291372456335008,1.044012818995811,0.21971336235961814,bottom_15pct,41106,False,15.0,-0.06250469117087509,0.15000243273488056
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,full,0.878766913462624,0.7950154474097086,0.9713412370950574,0.011439729780100747,bottom_20pct,41106,False,20.0,0.0033075490943508257,0.20001946187904443
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,full,0.8386601134206868,0.766540048897488,0.9175656077649516,0.00012546498036459047,bottom_25pct,41106,False,25.0,0.04713139414549361,0.25001216367440277
eICU,hospital_mortality,PRIMARY (matched),legacy,full,0.9513440639711143,0.9292331398933108,0.97398111324031,3.221254771923143e-05,continuous_per_SD,187420,True,,,
eICU,hospital_mortality,PRIMARY (matched),legacy,full,1.4879091926482024,1.3440506974205926,1.6471653709311234,1.868521336025465e-14,bottom_5pct,187420,True,5.0,-1.4756269206602428,0.05
eICU,hospital_mortality,PRIMARY (matched),legacy,full,1.3485528491582883,1.2524546159868326,1.4520244995384781,2.22681528054553e-15,bottom_10pct,187420,True,10.0,-0.553115804823128,0.1
eICU,hospital_mortality,PRIMARY (matched),legacy,full,1.1009346869703724,1.0345820619695407,1.171542818621029,0.0024301614630275387,bottom_15pct,187420,True,15.0,-0.19108172310960558,0.15
eICU,hospital_mortality,PRIMARY (matched),legacy,full,0.9264222798078309,0.8772761194940246,0.9783216725645577,0.005995500292698314,bottom_20pct,187420,False,20.0,-0.014804227969131133,0.2
eICU,hospital_mortality,PRIMARY (matched),legacy,full,0.9158045289431829,0.8740451674298714,0.9595590325143439,0.00022110526426049787,bottom_25pct,187420,False,25.0,0.08526728437276865,0.25
eICU,hospital_mortality,PRIMARY (matched),harmonised,minimal,1.2109067315322861,1.1825334756795824,1.2399607644321005,2.2949018231891013e-56,continuous_per_SD,187420,False,,,
eICU,hospital_mortality,PRIMARY (matched),harmonised,minimal,0.6689352274894657,0.6066223236084646,0.7376489805297682,7.677262189345546e-16,bottom_5pct,187420,False,5.0,-1.452916358645054,0.05
eICU,hospital_mortality,PRIMARY (matched),harmonised,minimal,0.6581168347784344,0.613496388799621,0.7059825878783602,1.62243163161922e-31,bottom_10pct,187420,False,10.0,-0.5833115819206879,0.1
eICU,hospital_mortality,PRIMARY (matched),harmonised,minimal,0.6435163978100973,0.6070776586704839,0.6821423064017914,1.0609861374417982e-49,bottom_15pct,187420,False,15.0,-0.2411498348055294,0.15
eICU,hospital_mortality,PRIMARY (matched),harmonised,minimal,0.6415676877156189,0.6096903709834759,0.6751116919508009,2.511019085240898e-65,bottom_20pct,187420,False,20.0,-0.07054881523186382,0.2
eICU,hospital_mortality,PRIMARY (matched),harmonised,minimal,0.6606555047342128,0.6311321972238385,0.6915598631403996,1.1811809521471554e-70,bottom_25pct,187420,False,25.0,0.031814157900233564,0.25
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,minimal,1.1591181097029488,1.1101207377097244,1.2102780775118276,2.0744251743725862e-11,continuous_per_SD,41106,False,,,
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,minimal,0.7791919763164946,0.6663743931472217,0.9111096437672832,0.0017688494412993292,bottom_5pct,41106,False,5.0,-0.42843774739455487,0.050017029144163866
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,minimal,0.5961919211688748,0.5269090911987607,0.6745846917508449,2.2938871535219514e-16,bottom_10pct,41106,False,10.0,-0.1628303063073644,0.10000973093952222
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,minimal,0.5176125349502848,0.4649577322689577,0.5762303059897887,2.4416836940929408e-33,bottom_15pct,41106,False,15.0,-0.06250469117087509,0.15000243273488056
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,minimal,0.5260933413100904,0.4792441144238188,0.5775223846067945,1.630303286813238e-41,bottom_20pct,41106,False,20.0,0.0033075490943508257,0.20001946187904443
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,minimal,0.5366471224538384,0.49353233424010606,0.5835284013992816,4.643587183300754e-48,bottom_25pct,41106,False,25.0,0.04713139414549361,0.25001216367440277
eICU,hospital_mortality,PRIMARY (matched),legacy,minimal,1.071652534489282,1.0501890880869234,1.0935546443063464,2.027755364256481e-11,continuous_per_SD,187420,False,,,
eICU,hospital_mortality,PRIMARY (matched),legacy,minimal,0.6616745690746547,0.5995467724673714,0.7302403339748722,2.2261468731642943e-16,bottom_5pct,187420,False,5.0,-1.4756269206602428,0.05
eICU,hospital_mortality,PRIMARY (matched),legacy,minimal,0.6612017686454386,0.6163382575509053,0.7093309128611852,8.30150869519657e-31,bottom_10pct,187420,False,10.0,-0.553115804823128,0.1
eICU,hospital_mortality,PRIMARY (matched),legacy,minimal,0.6203150989918523,0.5846842048008811,0.6581173544243686,2.208447288338363e-56,bottom_15pct,187420,False,15.0,-0.19108172310960558,0.15
eICU,hospital_mortality,PRIMARY (matched),legacy,minimal,0.6012141144460634,0.5706630311832511,0.6334007841014199,1.6668867783732553e-81,bottom_20pct,187420,False,20.0,-0.014804227969131133,0.2
eICU,hospital_mortality,PRIMARY (matched),legacy,minimal,0.7288127328675933,0.6969742466679372,0.7621056332128681,8.334685426826326e-44,bottom_25pct,187420,False,25.0,0.08526728437276865,0.25
eICU,hospital_mortality,PRIMARY (matched),harmonised,harmonised_severity,1.1068278338330253,1.0582315049522155,1.157655813510131,9.394046341094831e-06,continuous_per_SD,187420,False,,,
eICU,hospital_mortality,PRIMARY (matched),harmonised,harmonised_severity,1.482817605371416,1.2067986377281814,1.8219676274565573,0.00017780405935499528,bottom_5pct,187420,True,5.0,-1.452916358645054,0.05
eICU,hospital_mortality,PRIMARY (matched),harmonised,harmonised_severity,1.1114060583401255,0.9953080874738273,1.2410463072295852,0.06059801073079414,bottom_10pct,187420,True,10.0,-0.5833115819206879,0.1
eICU,hospital_mortality,PRIMARY (matched),harmonised,harmonised_severity,0.9675459237593508,0.8921351441829674,1.0493310578417727,0.42551459111925993,bottom_15pct,187420,False,15.0,-0.2411498348055294,0.15
eICU,hospital_mortality,PRIMARY (matched),harmonised,harmonised_severity,0.8776245118739406,0.8208084610343598,0.9383733482368797,0.00013202221114785224,bottom_20pct,187420,False,20.0,-0.07054881523186382,0.2
eICU,hospital_mortality,PRIMARY (matched),harmonised,harmonised_severity,0.8504279096941878,0.8026237093400351,0.9010793241848117,4.047644653551187e-08,bottom_25pct,187420,False,25.0,0.031814157900233564,0.25
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,harmonised_severity,1.0312758977091887,0.9675787130836847,1.0991663652938486,0.3437641127178206,continuous_per_SD,41106,False,,,
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,harmonised_severity,1.1502593477472862,0.9259748493493482,1.4288687948811014,0.20587571230539414,bottom_5pct,41106,True,5.0,-0.42843774739455487,0.050017029144163866
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,harmonised_severity,0.9615246895836612,0.8226302506916305,1.1238703267982826,0.6220821319471979,bottom_10pct,41106,False,10.0,-0.1628303063073644,0.10000973093952222
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,harmonised_severity,0.8192962692638356,0.7183985778044369,0.9343648464353818,0.002954593371687449,bottom_15pct,41106,False,15.0,-0.06250469117087509,0.15000243273488056
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,harmonised_severity,0.8083435068063035,0.7229771363348053,0.9037896112572484,0.00018667214962583473,bottom_20pct,41106,False,20.0,0.0033075490943508257,0.20001946187904443
eICU,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,harmonised_severity,0.7959890323654056,0.721066427433743,0.8786964911138294,6.071483534503282e-06,bottom_25pct,41106,False,25.0,0.04713139414549361,0.25001216367440277
eICU,hospital_mortality,PRIMARY (matched),legacy,harmonised_severity,0.8796646362863929,0.8443709615713354,0.9164335434899933,8.418476768013769e-10,continuous_per_SD,187420,True,,,
eICU,hospital_mortality,PRIMARY (matched),legacy,harmonised_severity,1.4850463289156401,1.207311999273025,1.8266716477213552,0.00018158004216666974,bottom_5pct,187420,True,5.0,-1.4756269206602428,0.05
eICU,hospital_mortality,PRIMARY (matched),legacy,harmonised_severity,1.1556465674334115,1.035354237082675,1.2899150271347979,0.009894577164361457,bottom_10pct,187420,True,10.0,-0.553115804823128,0.1
eICU,hospital_mortality,PRIMARY (matched),legacy,harmonised_severity,0.9712892946082624,0.8944926113332854,1.0546793588539847,0.4881973483784767,bottom_15pct,187420,False,15.0,-0.19108172310960558,0.15
eICU,hospital_mortality,PRIMARY (matched),legacy,harmonised_severity,0.8583756901121457,0.8017649629857894,0.9189835667445618,1.148961784850023e-05,bottom_20pct,187420,False,20.0,-0.014804227969131133,0.2
eICU,hospital_mortality,PRIMARY (matched),legacy,harmonised_severity,0.9338722170043111,0.8833487119869424,0.9872854353643283,0.015913996548137688,bottom_25pct,187420,False,25.0,0.08526728437276865,0.25
MIMIC,mortality_30d,secondary,harmonised,full,1.0674812470936021,1.038971196908514,1.0967736317302854,2.2682006597900883e-06,continuous_per_SD,83372,False,,,
MIMIC,mortality_30d,secondary,harmonised,full,0.8485631767753237,0.7413959068942673,0.9712212574727891,0.01713117089093863,bottom_5pct,83372,False,5.0,-0.5286843052472039,0.05000479777383294
MIMIC,mortality_30d,secondary,harmonised,full,0.8240162928868816,0.7480652579094335,0.9076786333328748,8.735576356194182e-05,bottom_10pct,83372,False,10.0,-0.30777485108327585,0.10000959554766588
MIMIC,mortality_30d,secondary,harmonised,full,0.8249113818782821,0.7629113821471385,0.8919499746316496,1.3772366377585825e-06,bottom_15pct,83372,False,15.0,-0.18991391543224923,0.15000239888691647
MIMIC,mortality_30d,secondary,harmonised,full,0.8384653980209855,0.7845857960553232,0.8960450561469476,2.0026085545615345e-07,bottom_20pct,83372,False,20.0,-0.11868132055373026,0.20000719666074943
MIMIC,mortality_30d,secondary,harmonised,full,0.8436967268713735,0.7955484755266903,0.8947590107091943,1.436072459677235e-08,bottom_25pct,83372,False,25.0,-0.07474433028271932,0.25
MIMIC,mortality_30d,secondary,sensitivity_invMAP,full,1.0343539843934328,0.9932887338064553,1.0771169838306456,0.10222292205299947,continuous_per_SD,30485,False,,,
MIMIC,mortality_30d,secondary,sensitivity_invMAP,full,1.052479057504924,0.8244082680016204,1.3436451446218105,0.6814710737496954,bottom_5pct,30485,True,5.0,-0.34022447586429855,0.050024602263408234
MIMIC,mortality_30d,secondary,sensitivity_invMAP,full,0.9342966039871713,0.7983784811747281,1.0933537974840801,0.3968395406422076,bottom_10pct,30485,False,10.0,-0.2246864578466022,0.10001640150893883
MIMIC,mortality_30d,secondary,sensitivity_invMAP,full,0.9154306245761514,0.8088745467546319,1.0360237341799925,0.16167615357018517,bottom_15pct,30485,False,15.0,-0.17094744884754737,0.1500082007544694
MIMIC,mortality_30d,secondary,sensitivity_invMAP,full,0.8977612348686321,0.807485115432356,0.9981301443572784,0.046089024478992574,bottom_20pct,30485,False,20.0,-0.13710190539596762,0.2
MIMIC,mortality_30d,secondary,sensitivity_invMAP,full,0.9014339170249542,0.8195965022599959,0.991442867950626,0.032602682299765755,bottom_25pct,30485,False,25.0,-0.1105946898527499,0.2500246022634082
MIMIC,mortality_30d,secondary,legacy,full,1.058104103825656,1.0331283959529995,1.0836835952998316,3.584669690687445e-06,continuous_per_SD,83066,False,,,
MIMIC,mortality_30d,secondary,legacy,full,0.8562887066828165,0.7549791310025635,0.971192870217284,0.015737560613346607,bottom_5pct,83066,False,5.0,-0.4467195412816052,0.05000842703392483
MIMIC,mortality_30d,secondary,legacy,full,0.8927578185267003,0.820382162629497,0.9715185907820663,0.008543039912946356,bottom_10pct,83066,False,10.0,-0.27854027694082495,0.10000481544795704
MIMIC,mortality_30d,secondary,legacy,full,0.8914178078197713,0.8324297201612729,0.9545859414345007,0.0010000938375553307,bottom_15pct,83066,False,15.0,-0.19938243613645024,0.15000120386198926
MIMIC,mortality_30d,secondary,legacy,full,0.9104943232736353,0.8575854764251303,0.9666673882692429,0.0021417800937557287,bottom_20pct,83066,False,20.0,-0.14450212603104662,0.2000096308959141
MIMIC,mortality_30d,secondary,legacy,full,0.8987965728451346,0.850847120735079,0.9494482142223621,0.00013647734836862556,bottom_25pct,83066,False,25.0,-0.10436708130358319,0.2500060193099463
MIMIC,mortality_30d,secondary,harmonised,minimal,1.2845988374066846,1.254286194500677,1.3156440534080316,6.847929232505352e-94,continuous_per_SD,83372,False,,,
MIMIC,mortality_30d,secondary,harmonised,minimal,0.5145932602699446,0.4550047099684863,0.5819856755627683,3.6616821299305764e-26,bottom_5pct,83372,False,5.0,-0.5286843052472039,0.05000479777383294
MIMIC,mortality_30d,secondary,harmonised,minimal,0.49103285930994955,0.44925938850485847,0.5366905513639527,2.111631442608987e-55,bottom_10pct,83372,False,10.0,-0.30777485108327585,0.10000959554766588
MIMIC,mortality_30d,secondary,harmonised,minimal,0.5267602841623509,0.49030668105062575,0.5659241607237049,1.0287549667491257e-68,bottom_15pct,83372,False,15.0,-0.18991391543224923,0.15000239888691647
MIMIC,mortality_30d,secondary,harmonised,minimal,0.5749037316448182,0.5409055512004939,0.6110388401923197,7.29337576859752e-71,bottom_20pct,83372,False,20.0,-0.11868132055373026,0.20000719666074943
MIMIC,mortality_30d,secondary,harmonised,minimal,0.6213287506382696,0.588694451972131,0.6557721328550736,5.798679173090735e-67,bottom_25pct,83372,False,25.0,-0.07474433028271932,0.25
MIMIC,mortality_30d,secondary,sensitivity_invMAP,minimal,1.1753445855775382,1.1323995012181294,1.2199183180144606,1.783940736330842e-17,continuous_per_SD,30485,False,,,
MIMIC,mortality_30d,secondary,sensitivity_invMAP,minimal,0.6644096985543986,0.5326139061117032,0.8288184789538053,0.00028973014905526616,bottom_5pct,30485,False,5.0,-0.34022447586429855,0.050024602263408234
MIMIC,mortality_30d,secondary,sensitivity_invMAP,minimal,0.7497918528677853,0.6485981947996359,0.8667736468193177,9.908339425550724e-05,bottom_10pct,30485,False,10.0,-0.2246864578466022,0.10001640150893883
MIMIC,mortality_30d,secondary,sensitivity_invMAP,minimal,0.7935858605261927,0.7074338975555938,0.8902294902791348,8.043614417192623e-05,bottom_15pct,30485,False,15.0,-0.17094744884754737,0.1500082007544694
