cohort,n_pooled,n_local,n_common,positive_agreement,jaccard,hosp_share_median,hosp_share_p90,hosp_share_max,n_hosp_under_1pct,n_hosp_half_decile
unrestricted,9906,13348,5056,0.5103977387441955,0.27783272887130456,0.010030708953248266,0.6134772077656936,1.0,34,5
restricted,9006,10548,4726,0.5247612702642682,0.31872133800917185,0.033583819277006266,0.3149958525891694,0.8621543541064796,15,6
