metric,eta2_vs_vitalPeriodic,eta2_vs_nurseCharting
n_records,0.9601265617118483,0.026348613003042632
median_interval_min,0.8772714163452209,0.01620152827806051
iqr_interval_min,0.21823905636055801,0.04213482423924563
max_interval_min,0.15455264969177368,0.063327708783771
n_gaps_gt2h,0.01761675896138608,0.06587937816648722
frac_time_in_gaps,0.010219278005821652,0.07082448063432627
